,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,1.34,1.26,1,96551,Feeder_450,DEBRV,DKAAR,DEBRV,,,,,,,,,
1,0,1.34,1.26,1,168426.71,Feeder_800,DEBRV,SEGOT,NOKRS,NOSVG,DEBRV,,,,,,,
2,0,1.34,1.26,2,247879.5,Feeder_450,DEBRV,PLGDY,RUKGD,NOBGO,NOAES,DEBRV,,,,,,
3,0,1.34,1.26,2,271459.57,Feeder_800,DEBRV,FIKTK,RULED,FIRAU,DEBRV,,,,,,,
4,1,1,0.67,2,204190,Feeder_450,DEBRV,NOKRS,PLGDY,RUKGD,DEBRV,,,,,,,
5,1,1,0.67,2,271459.57,Feeder_800,DEBRV,FIRAU,RULED,FIKTK,DEBRV,,,,,,,
6,1,1,0.67,2,176884.17,Feeder_450,DEBRV,NOAES,NOBGO,NOSVG,DEBRV,,,,,,,
7,1,1,0.67,1,151114.71,Feeder_800,DEBRV,DKAAR,SEGOT,DEBRV,,,,,,,,
8,2,1.44,1.31,1,107751.33,Feeder_450,DEBRV,NOSVG,NOKRS,DEBRV,,,,,,,,
9,2,1.44,1.31,2,268029.07,Feeder_800,DEBRV,RULED,FIKTK,RUKGD,PLGDY,DEBRV,,,,,,
10,2,1.44,1.31,2,257972.5,Feeder_450,DEBRV,NOAES,NOBGO,FIRAU,DEBRV,,,,,,,
11,3,0.74,1.06,2,240524.17,Feeder_450,DEBRV,DKAAR,PLGDY,FIRAU,DEBRV,,,,,,,
12,3,0.74,1.06,2,242712.07,Feeder_800,DEBRV,RULED,FIKTK,RUKGD,DEBRV,,,,,,,
13,3,0.74,1.06,2,205063.5,Feeder_450,DEBRV,NOAES,NOBGO,NOSVG,NOKRS,DEBRV,,,,,,
14,3,0.74,1.06,1,128273.71,Feeder_800,DEBRV,SEGOT,DEBRV,,,,,,,,,
15,4,1.37,1.25,2,215306.33,Feeder_450,DEBRV,SEGOT,NOSVG,NOBGO,NOAES,DEBRV,,,,,,
16,4,1.37,1.25,2,233968.17,Feeder_450,DEBRV,NOKRS,FIRAU,DKAAR,DEBRV,,,,,,,
17,5,1.27,1.01,2,236338.5,Feeder_450,DEBRV,SEGOT,DKAAR,FIRAU,DEBRV,,,,,,,
18,5,1.27,1.01,2,205063.5,Feeder_450,DEBRV,NOKRS,NOSVG,NOBGO,NOAES,DEBRV,,,,,,
19,6,1.04,1.12,2,192249.17,Feeder_450,DEBRV,DKAAR,RUKGD,PLGDY,DEBRV,,,,,,,
20,6,1.04,1.12,2,241331.5,Feeder_450,DEBRV,NOAES,NOBGO,NOSVG,NOKRS,SEGOT,DEBRV,,,,,
21,7,1.12,1.38,3,292030,Feeder_450,DEBRV,FIRAU,RULED,FIKTK,RUKGD,PLGDY,DEBRV,,,,,
22,7,1.12,1.38,2,251329.04,Feeder_800,DEBRV,NOAES,NOBGO,NOSVG,NOKRS,DEBRV,,,,,,
23,7,1.12,1.38,1,126944,Feeder_450,DEBRV,DKAAR,SEGOT,DEBRV,,,,,,,,
24,9,1.25,1.29,3,300568.33,Feeder_450,DEBRV,RUKGD,PLGDY,FIRAU,RULED,FIKTK,DEBRV,,,,,
25,9,1.25,1.29,2,203263.17,Feeder_450,DEBRV,DKAAR,NOBGO,NOAES,DEBRV,,,,,,,
26,10,1.22,0.7,3,283932.33,Feeder_450,DEBRV,SEGOT,FIKTK,RULED,FIRAU,DEBRV,,,,,,
27,10,1.22,0.7,1,162878.54,Feeder_800,DEBRV,NOBGO,NOAES,DEBRV,,,,,,,,
28,10,1.22,0.7,2,232182.17,Feeder_450,DEBRV,NOSVG,NOKRS,DKAAR,PLGDY,RUKGD,DEBRV,,,,,
29,11,1.18,0.88,3,286752.33,Feeder_450,DEBRV,FIKTK,RULED,FIRAU,SEGOT,DEBRV,,,,,,
30,11,1.18,0.88,1,162878.54,Feeder_800,DEBRV,NOAES,NOBGO,DEBRV,,,,,,,,
31,12,0.53,0.95,2,220184.33,Feeder_450,DEBRV,FIRAU,RULED,FIKTK,DEBRV,,,,,,,
32,12,0.53,0.95,2,270586.04,Feeder_800,DEBRV,PLGDY,RUKGD,DKAAR,SEGOT,DEBRV,,,,,,
33,13,1.39,1.12,2,231398.83,Feeder_450,DEBRV,NOSVG,NOKRS,DKAAR,RUKGD,PLGDY,DEBRV,,,,,
34,13,1.39,1.12,3,283932.33,Feeder_450,DEBRV,FIRAU,RULED,FIKTK,SEGOT,DEBRV,,,,,,
35,15,1.12,0.97,2,222642.17,Feeder_450,DEBRV,SEGOT,DKAAR,RUKGD,PLGDY,DEBRV,,,,,,
36,16,1.47,0.93,2,270586.04,Feeder_800,DEBRV,SEGOT,DKAAR,RUKGD,PLGDY,DEBRV,,,,,,
37,16,1.47,0.93,2,220184.33,Feeder_450,DEBRV,FIKTK,RULED,FIRAU,DEBRV,,,,,,,
38,19,0.67,1.24,2,211962.33,Feeder_450,DEBRV,NOBGO,RUKGD,PLGDY,DEBRV,,,,,,,
